text,label
מתי שתדע לרשום נתחיל להכיר,0
אליי להכל,0
ניקנה שלוש מ150,0
קוראת מתייחסת,0
מאור מתחיל לשאול מוציאה מהקבוצה ועניתי שזו החלטה שלי ושל טליה כבד,0
נפרדתם יהייה קשה להתגבר,0
אמרו בחדשות שבשלוש ימים הבאים גשם,0
שנריב ביי,0
אמרת,0
הולכות ביחד,0
מילה מתבייש בי ליד הח תדבר איתי תיגע בי תנשק,0
מיקמק מטמטיקה,0
הגיון,0
בפני מזרח,0
אשקולית,0
אע משנה הבנתי,0
רציתי חיב,0
אמע,0
חחח איכסס,0
מישהי,0
במצוקה,0
ראו ביחד שידור,0
מציקנית,0
דיי ילך,0
ביחד אוהב אותע,0
אנלי כוח,0
ואוו ואוו,0
ביי סלאמט,0
טלזלזל בי,0
הולכת ריב הסיכויים לטדי,0
התנתקת,0
,0
ברגע תעשה קטן ישתנה,0
נצייר מאחורה שכזה עומד בהבטחה ונכתוב למטה הבטחהלהבות2018,0
כוונה לפגוע,0
ראית דמעות,0
מושעה להודעה חדשה,0
המורה אמרה,0
יובל חן,0
גאונות מהלכת,0
אדם יצובב,0
יצליח,0
מעדיפה אביא בבוקר,0
אהבתי,0
בינתיים בנים ראו,0
היית התמונה יפה,0
7 דק,0
שטויות,0
שיעורים בספר האדום עמוד 34 A B,0
אגם אביב • Followed by eitangutman33,0
הלל,0
ראער שלחת תמונות,0
נפתח ללירז עמוד מעריציםפ,0
תגיד לבוא,0
לילה,0
שכתוב אותו‍♀,0
תהיי,0
להוריד גפן אליי,0
סוכה האדם הקדמון,0
קיבלתי בבקום טלכארד 20 שקל שיחות,0
נלמד 4 ימים,0
יהל יצאב,0
אשאיר התגובה,0
לדעתך בגמר,0
קינוח,0
סגור,0
אוקייאמא אמרה לבוא ואורי,0
מאוהבת קשות,0
הכיתה שלך מתה עליי ובגלל שתגידו לרפי שאתם ורוני נדריך אותכם בגיחה,0
לאהוב בי,0
עידו תקשר אליי בעשר נילך,0
פבגי מובייל,0
הרסת,0
פחות,0
יוגעת,0
ילדים,0
כולך עצמות,0
ידידה חן,0
במחצית פרופס,0
תא,0
רז הספר,0
אהה מזמן ושכחתי להחזיר שרבנו,0
זין עליך,0
נפגשים,0
וואו,0
מאמי אוהבת,0
עמבעמל אקל,0
איריס פרשה,0
נפגשים,0
מדברת אמרתי,0
,0
איתי תזכור,0
זיו ומהשמו 3,0
ממה,0
בעבודה נפלתי,0
השם,0
תודה בייבי,0
לבוא לגדנע,0
הבנו תעתיק,0
נודרת נדר באמאשלי לשלוח אתזה בשידור 1 מאוהב בך 2 אוהב 3 מושלמת 4 יפה 5 אניי רווצה חייבוק 6 חברה שלי 7 8 מגניבה 9 להתנשק 10 התינשאי 11 להרחיב הקשר 12את נחמדה מסננים נחסמים לסנן יוצאים חראות תענו שידור,0
מביא עליך אגרופן,0
להרכיב כהן,0
משימה כתה,0
ואורי ילך,0
לומד לאנגלית אימון,0
,0
אורין ניתקה ממני קשר,0
תועה,0
אריאל בקבוצה רכבים ואתה מבין,0
ורצון להקשיב,0
ישראל הגענו,0
תלוי כסף שלי תחליט,0
לגילנו סיגל ואיריס,0
ישר הבייתה,0
הנסיכה שלי ניכנסת יוצאת לעולמים אוהבת אישתי תביןאפללו♡ש,0
,0
הכירו המקרר אור לוי המקרר אור לוי,0
השמלה,0
בטח שכן רמות,0
יספיק יביא ביצה ותפוח אדמה לעצמו,0
בגד לתומאז,0
הפסקות,0
ענקית,0
נבו,0
וגמרתי בבית,0
בחר לבד,0
תהני,0
מיטל בהיסטוריה,0
שמורידים,0
מזכירה חסה תפוח אדמה וביצה,0
לאפרת לשלומו,0
מתווכחת איתם,0
ליאם תקשיבי ישר הולכת לשרון לשני לשרון ליבני מבטיחה יקרה נוסיף עדים שעזבו מצווה שהילדים יגיעו עצוב קרה בסדר והכל בסדר שכן באיזה הקטע שמח ולבוא לבת מצווה שלך הקטע,0
באה לב,0
ואמרתי תקלל,0
מכינה הפה שלי,0
העולם בחוץ לשמור שטח,0
כתבו,0
מאפרת,0
חחחחחחחחחחח עדן הרגת,0
עידן חבר שלך,0
אתן תקבלו,0
,0
קבעתי סינטטי 9 11,0
,0
וואי פיצה,0
שרצה לצאת לצאת חייג שאל לצאת אוו,0
חחח,0
לסגור מעגל,0
מדבר איתה חייך,0
פפפ התרגשתי מחברה חדשה,0
תגיב,0
לי‍♂,0
,0
ראיקו סבבה,0
אתמול,0
בתמונות,0
איךךץ,0
מתחת לבית שלך,0
רווק מישהי שיצאה מהחיים תנחשו נראלי שיחזור,0
תמחקי ההודעה,0
כוס שלך תענה,0
סתכלי,0
,0
,0
נסיך שלי,0
בשיעור סלסלתי,0
הודעה נמחקה,0
תמשיך לנסות,0
ספרי,0
נסתדר,0
הנה הקבוצה,0
והם רבו,0
,0
נראלך,0
כאילו אפעם הסתכלתי,0
נחל הקיבוצים,0
עיר,0
עצבנית עלי סיפרתי לל מהתחלה תגידי אמת,0
מטפל בי,0
הסאונד בעייתי,0
אכלתי,0
יבוא,0
תשלחי המספר טלפון איתי,0
הנה הפסקתע,0
ואין כח לריב איתה לצאת איתכם,0
באלי,0
בגד ים,0
הסתבחתי הדברים,0
חחח,0
עבר,0
תגיד מתי סיימתה,0
מאיפה,0
איחלתי לחייל בהצלחה,0
שלי עליה,0
יעיר,0
לשלוח עמודים 8687 בהיסטוריה,0
יאוו ניס,0
שואלים תספר,0
,0
לכי זדייני אעלק שפוט,0
פאקינג אמות,0
תנדור בבן אדם,0
מצ הגבוה,0
שחור,0
מתי,0
כבדד1,0
ואי שכחתי לקנות נייר מגבת,0
יאלה כנסו,0
ממשיכות בחגיגות,0
היי,0
שאלנו,0
שלחתי בסטטוס,0
סיימתי ב45,0
מדבר איתן שיבוא,0
חג שמח שלי,0
נגיד מ110 באלך חח,0
אוהבת שלשתי הקבוצות האחרות מותר בשניה שכחולים תופסים מכון מינימום שילוב השטן ופאקימג דאעש,0
יפה,0
אבוא האוטו שלי שאשאר הסוך,0
וזיו יכולים שיעורים,0
מוזר,0
הלכת לבית,0
שלחו הודעות כואב עבר עלי תשמכו עצמכםאיך שהרעים מנצחים מפירים חוקיםלא תגנובלא תנאףולא תשקראכלת אותהשידור,0
מסוגלת,0
עשית,0
זיהתה,0
בזכות,0
תודה,0
אכתוב לקראת רביעי בטיוש,0
הולכות לבלנגה,0
דיברתי שירה טובול,0
ופריאל אומרת טל הופה,0
חייבים האות הראשונה בשם שרואה תכתוב במי מאוהב בשידור תספר סוד שלך בשידור ג תלך למישהו ברחוב ותגיד קורה ד תדבר 10 בטלפון פטור תאכל חריף ז תעבוד חבר בפאלפון תספר אקסים ט פטור שלחלחבר קרוב תאכל כף מיונז תשתה קולה קטשופ בבית תגיד לחבר לבוא אלייך נ פטור ס תחליף השם הקבוצה הכיתה קקי פטור פ צעק אלווכבר ברחוב צ פטור ק תבקש מההורים כסף תספר סוד לילד פחות אוהב תעשה לייב באינסטנגרם ת פטור שידורשוב,0
יעבוד,0
החלמה מהירה וטובה תרגיש,0
אפסים,0
נכנסת לוואטסאפ אותכם נעליים ודפים,0
מכבה לגמרה הטלפון שלי ליומיים הבאים להיתראות,0
צדדים,0
חבלים קשר צופים ורובי צעצוע,0
כע מצליח לחשב השבועות,0
קשה להסביר,0
פתגם,0
אומרת מודיעה,0
Home מעכשיו,0
באותה קבוצה,0
הפסקתן,0
קולטת,0
שאמרת השיער שלי,0
אלמוג הסתפרתי,0
,0
צריכים,0
בטעות,0
תיכנס לפארטי,0
שאמא תשיר בימקומי,0
כע,0
להיפגש בגן שמעון איתי תומר,0
תגידי ללינוי להתחבר דקה,0
חמודה יפה,0
מגישים אחרנו‍♀,0
,0
כסף בבית,0
באורי,0
