text,label
"י׳מזדיין חכה אני אבוא אני אזיין את אמאשך
",1
"ייאללה יאללה סע הביתה לפני שאני בא
",1
"חחחח אמא שלך נותנת לכולם
",1
"היא זונה נותנת לכולם
",1
"כוס אמאמאמאשלךך יהומו מזדיין
",1
"אני שונאת אותך הרסת לי את החיים
",1
"בחיים לא אסלח לך על מה שעשית לי
",1
"אמא שלך מוצצת לי
",1
"באלי שתרד לי
",1
"באלי שתמצצי לייי
",1
"חכה אני בא אליךך מתחת לבית מפוצץ אותך מכות
",1
"שלחי תמונת עירום שלך
",1
"שלחי תמונה שובבה שלך
",1
"י׳בת זונה אני אהרוג אותך
",1
"כוסאמאמאמאשלךךך בת זונה מזדיינת
",1
"זונה אחת לכולם את מוצצת
",1
"אנ אזיין  את אמאשך
",1
"אמאשלך אצלי במיטה
",1
"זונהה אחת חכי אני אגרום לך לבכותת!
",1
"זוונה בתת זוונהה חכיי
",1
"מכוערת מי יצא איתך בכלל
",1
"כוסאאמקקקק הרסת לי את החיים
",1
"חכהה אני אבוא אני אזייןן אותך
",1
"פוסטמהה מכוערת מי בכלל סופר אותךך
",1
"חחחחח ישרמוטהה מי יגע בך 
",1
"מחר עושים עליו חרם
",1
"יחתיכת שקרן מסריחח
",1
"אבאשך בגבס י׳סתום
",1
"חחח פוסטמהה אני הדבר הכי טוב שהיה יכול להיות לך
",1
"מחר אני שולח את התמונת עירום שלך לכל הכיתה
",1
"מחר אני הולך לזיין אותה
",1
"ימכוערת מי בכלל יצא איתך
",1
"כולה עשינו עליה חרם מה היא בוכה
",1
"שמעת שעידו רוצה להתאבד?
",1
"באלי להתאבד
",1
"איך באלי שהוא ימות כבר
",1
"הוא אנס אותי אתמול
",1
"הוא נגע בי אתמול
",1
"ילדה מכוערת כולךךך כינים מי יגע בך
",1
"אני שונאת אותך
",1
"תגעי למטה, רטוב לך?
",1
"שלחי לי תמונה שלך נוגעת
",1
"שלחי לי סרטון שלך נוגעת פליזז זה ישגע אותי אני לא אשלח לאף אחד מבטיח
",1
"שלחת תמונת עירום שלך למישהו?
",1
"יילד טמבל חחחח כל הכיתה שונאת אותך
",1
"אני לא סופר אותך ממטר
",1
"חחח מי תתחיל איתך יאפס אל תעוף
",1
"ראית את תמונת העירום שלה?
",1
"בן זונה הרסת לי את החיים הרסת !!
",1
"בנזונההה מזדיין בתחת אמאשלךך זונהה
",1
"בנזונהה הומו אינבעיה פתחת איתי עסק
",1
"חכה אני מביא מחר את כל הכיתה עליך
",1
"תעזוב אותי כבר תעזוב !! לא עשיתי לך כלום
",1
"ירון הרביץ היום לזאב, ראית?
",1
"שונאת אותך ואת כל מה שקשור אליך !!!
",1
"אל תדברי איתי יותר בחייםםם !
",1
"אל תדבר איתי יותר בחיים !!
",1
"הרסת לי את החיים הרסת לי !!!!! 
",1
"בתזונה מכוערתת לא עשיתי לך כלום
",1
"יאללה יאללה ימטומטמת שחררי ממני כבר שחררי
",1
"מי תסתכל עליך ימכוער
",1
"זונה מטומטמת עופי לי מהחיים!!
",1
"היא בכתה בגללך כל היום
",1
"אני אאנוס לך את הצורה 
",1
"חחחחח מי חברה שלך בכלל ימכוערת
",1
"פגעת בי מאוד
",1
"העלבת אותי אתמול כשדיברת עם רוני על מה שסיפרתי לך
",1
