text,label
"מתי שתדע לרשום אז נתחיל להכיר
",0
"אליי או להכל?
",0
"אז ניקנה שלוש מ150
",0
"קוראת ולא מתייחסת
",0
"מאור מתחיל לשאול אותי למה אני מוציאה אותו מהקבוצה ועניתי לו שזו הייתה החלטה שלי ושל טליה והוא כבד את זה
",0
"רק נפרדתם יהייה לו קשה להתגבר על זה
",0
"אמרו בחדשות שבשלוש ימים הבאים הולך להיות גשם
",0
"אני לא רוצה שנריב אז ביי
",0
"אמרת משהו
",0
"אנחנו הולכות היום ביחד?
",0
"מילה אתה מתבייש בי גם היום ליד הח' אתה לא תדבר איתי ולא תיגע בי ולא תנשק אותי
",0
"#מיקמק מי צריך מטמטיקה??
",0
"אין בזה שום הגיון
",0
"סתם עושים משהו בפני מזרח
",0
"אני צריך אשקולית
",0
"אע לא משנה הבנתי
",0
"רציתי חיב
",0
"איזה אמע את
",0
"חחח איכסס
",0
"מדובר על מישהי אחת#
",0
"אני במצוקההההההה
",0
"לא עושה ראו מלא ביחד שידור 
",0
"היא מציקנית
",0
"דיי באמת שאני ילך עליו
",0
"אנחנו לא נהיה ביחד הוא לא אוהב אותע
",0
"אנלי כוח
",0
"ואוו ואוו
",0
"ביי זה סלאמט
",0
"טלזלזל בי
",0
"אני הולכת ריב הסיכויים לטדי
",0
"את התנתקתתתת
",0
"אני יודעת למה .ש.
",0
"וגם אם כן אז ברגע שאתה תעשה משהו קטן הכל ישתנה
",0
"לא יודעת בואו נצייר ילד מאחורה שכזה עומד כמו בהבטחה ונכתוב למטה הבטח'ה~להבות~2018 
",0
"שזה לא היה עם כוונה לפגוע
",0
"כן לא ראית היו לו דמעות 
",0
"מושעה עד להודעה חדשה
",0
"סתם המורה אמרה
",0
"יובל חן
",0
"גאונות מהלכת
",0
"אי אפשר בן אדם זה יצובב
",0
"זה לא יצליח
",0
"מעדיפה שאני אביא לך עכשיו או בבוקר?
",0
"וגם אף פעם לא אהבתי אותך
",0
"בינתיים רק בנים ראו את זה
",0
"היית עושה את התמונה יותר יפה
",0
"7 דק
",0
"זה לא שטויות!!!
",0
"היו שיעורים בספר האדום היה עמוד 34 A ו- B
",0
"אגם אביב • Followed by eitan_gutman+33
",0
"זאת הלל
",0
"ראער שלחת לו תמונות?
",0
"בואו נפתחחח ללירז עמוד מעריציםםםםםםםפפפפפפפפ
",0
"אל תגיד לי לבוא
",0
"לילה טוב ##
",0
"אבל שכתוב לא לעשות משהו עושים אותו??‍♀
",0
"אם את תהיי
",0
"רוצה להוריד את גפן אליי?
",0
"סוכה של האדם הקדמון
",0
"ילד.. אני עוד קיבלתי בבקום טלכארד עם 20 שקל שיחות 
",0
"אנחנו לא נלמד 4 ימים
",0
"יהל יצאב
",0
"אני אשאיר את התגובה
",0
"מי לדעתך יהיה בגמר?
",0
"עוד מעט קינוח
",0
"לא סגור על זה
",0
"אוקיי,אמא אמרה שגם אם לא לבוא יכול להיות שאני ואורי נראה.
",0
"אני מאוהבת בו קשות
",0
