text,label
"י הזדיין חיכה הוא בא הוא זיין את אמא של אתה
",1
"יאלה יאלה נסע הביתה לפני ש הוא בא
",1
"חחחח אמא של אתה נתן ל ה כולם
",1
"הוא זנה נתן ל ה כולם
",1
"כוס אמא ש ל אתה יהומו הזדיין
",1
"הוא שנא את אתה הרס ל אני את ה חיים
",1
"ב ה חיים לא נסלח ל אתה על מה ש עשה ל אני
",1
"אמא ש ל אתה מצץ ל אני
",1
"ב אל אני ש ירד ל אני
",1
"ב אל אני ש מצץ ל אני
",1
"חך הוא בא אל אתה מתחת ל ה בית פוצץ את אתה הכה
",1
"שלח תמונה עירום ש ל אתה
",1
"שלח תמונה שובב ש ל אתה
",1
"י בת זונה הוא הרג את אתה
",1
"כוס אמא ש ל אתה בת זונה הזדיין
",1
"זונה אחת ל כולם את מצץ
",1
"אנ זיין את אמא של אתה
",1
"אמא ש הלך אצל אני ב ה מיטה
",1
"זונה אחת חיכה הוא גרם ל אתה ל בכותת _
",1
"זנה ב תת זונה חך
",1
"מכוער מי יצא את אתה בכלל
",1
"כוסאאמק הרס ל אני את ה חיים
",1
"חכהה הוא בא הוא זיין את אתה
",1
"פוסטמהה כוער מי בכלל ספר את אתה
",1
"חחחחח ישרמוטהה מי יגע ב אתה
",1
"מחר עשה על הוא חרם
",1
"יחתיכת שקרן מסריחח
",1
"אבא של אתה ב ה גבס י סתום
",1
"חחח פוסטמהה הוא ה דבר הכי טוב ש היה יכול ל ה היות ל אתה
",1
"מחר הוא שלח את ה תמונה עירום של אתה ל כול ה כיתה
",1
"מחר הוא הלך זיין את היא
",1
"ימכוערת מי בכלל יצא את אתה
",1
"כול עשה על היא חרם מה הוא בכה
",1
"ש מעה שעידו רצה התאבד _
",1
"ב אל אני התאבד
",1
"איך ב אל אני ש הוא יום כבר
",1
"הוא אנס את אני אתמול
",1
"הוא נגע ב אני אתמול
",1
"ילד מכוער כול כ ה ין מי נגע ב אתה
",1
"הוא שנא את אתה
",1
"נגע ל ה מטה _ רטוב ל אתה _
",1
"שלח ל אני תמונה ש ל אתה נגע
",1
"שלח ל אני סרטון ש ל אתה נגע פליזז זה שיגע את אני הוא לא שילח ל אף אחד הבטיח
",1
"ש לחה תמונה עירום ש הלך ל ה מישהו _
",1
"ילד טמבל חחחח כול ה כיתה שנא את אתה
",1
"הוא לא ספר את אתה מ מטר
",1
"חחח מי התחייל את אתה איפס אל עף
",1
"ראה את תמונה ה עירום של היא _
",1
"בן זונה הרס ל אני את ה חיים הרס !!
",1
"בן זונה הזדיין ב ה תחת אמא ש ל אתה זנה
",1
"בן זנה הומו אין בעיה פתחה את אני עסק
",1
"חך הוא הביא מחר את כול ה כיתה על אתה
",1
"לא עשה ל אתה כ לום
",1
"ירון הרביץ היום ל ה זאב _ ראה _
",1
"שנא את אתה ו את כול מה ש קשר אל אתה _
",1
"אל דיבר את אני יותר ב ה חיים _
",1
"אל דיבר את אני יותר ב ה חיים !!
",1
"הרס ל אני את ה חיים הרס ל אני _
",1
"בן זונה מ כוערתת לא עשה ל אתה כ לום
",1
"יאלה יאלה ימטומטמת שחרר מן אני כבר ש חרר
",1
"מי הסתכל על אתה ימכוער
",1
"זונה מטומטם עף ל אני מ ה חיים !!
",1
"הוא בכה בגלל אתה כול ה יום
",1
"הוא אנס ל אתה את ה צורה
",1
"חחחחח מים חבר של אתה ב כלל ימכוערת
",1
"פגע ב אני מאוד
",1
"העליב את אני אתמול כש דיבר עם רוני על מה ש סיפר ל אתה
",1
"אל סיפר ל אבא אבל
",1
"אל סיפר ל אמא אבל
",1
"אל סיפר ל אבא אבל
",1
"אל סיפר ל אמא אבל
",1
"הוא שנא אותוו כול כך ו ואי את לא מבינהה
",1
"חחח איזה שחקן שילח תמונה עירום של היא
",1
"אינמצבב ישלך תמונה עירום של היא
",1
"שלח שילח תמונה עירום של היא
",1
"וואי הוא כ ה זו זונה דני אמר ל אני ש הוא מצץ ל הוא אתמול
",1
"מצץ ל כול ה שכונה כבר חחח
",1
"הכניס אצבע _ הרגיש כמה רטוב ל אתה
",1
"הוא אגמוור על את
",1
"הוא ידע איפה הוא גר חבל על אתה מחר הוא בא
",1
"יעבריינית מקלדת בוא נראה את אתה ב ה מציאות יפוסטמה
",1
"יעבריין מקלדת בוא בוא למטה דק אצל אתה נראה אם יש ל אתה אומץ
",1
"וואי הרג את אני עלאק בא הרג את אני חחחחח
",1
"הוא פגע ב אני ממש לא הפסיק ביכה כול ה לילה
",1
"הוא לא הבין איך הוא העליב את אני
",1
